attachment_path,literature_count,literature_ids_json
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\地方政府隐性债务与银行体系系统性风险——基于地方融资平台视角的研究.pdf,1,[70]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\规模大的银行风险真的高吗_——基于中国上市商业银行的实证分析.pdf,1,[71]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\银行网络中的风险传染机制研究.pdf,1,[73]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\银行间网络连接倾向异质性与风险传染.pdf,1,[74]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\从深圳房地产市场波动看我国房地产市场走势.pdf,1,[76]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\浅谈商业银行房地产贷款信用风险及防范.pdf,1,[77]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\新形势下影响我国房地产经济周期波动因素的反思.pdf,1,[78]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\数字金融对银行系统性风险的影响.pdf,1,[79]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\经营同质化背景下表外业务对银行系统性风险的影响.pdf,1,[80]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\A股市场系统性风险的预警指标体系研究(摘要).pdf,1,[81]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\基于VAR模型的黑龙江省房地产价格波动的影响因素分析.pdf,1,[82]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\西安市房地产泡沫测度及其对策研究.pdf,1,[83]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\少子老龄化与房价波动研究综述.pdf,1,[84]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\系统性金融风险的识别与防范.pdf,1,[86]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\外资撤离对我国银行业的影响——以房地产市场为传导渠道.pdf,1,[87]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\绿色信贷与商业银行系统性风险：诱发机制及化解路径.pdf,1,[88]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\银行信贷与房地产价格非理性波动的检验.pdf,1,[90]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\银行间风险传染与系统性风险研究.pdf,1,[91]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\银行业系统性风险度量与监管研究.pdf,1,[92]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\对建立我国宏观审慎监管框架的思考.pdf,1,[93]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\影子银行业务对商业银行系统性风险的影响研究.pdf,1,[95]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\银行应认真审视房地产业的经营风险.pdf,1,[96]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\数量型和价格型货币政策对系统性金融风险的动态影响研究.pdf,1,[97]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\中国房地产价格波动对宏观经济的影响研究.pdf,1,[98]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\金融体制改革_形势  任务  取向.pdf,1,[99]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\银行信贷扩张与房地产价格波动关联性研究.pdf,1,[100]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\我国影子银行与房地产金融风险研究——基于中央银行金融稳定的视角.pdf,1,[101]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\房地产周期理论与实证研究.pdf,1,[102]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\保持经济金融发展良好势头.pdf,1,[103]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\商业银行同业业务对银行系统性风险的影响研究.pdf,1,[104]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\中美影子银行运作机制的综述研究.pdf,1,[105]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\基于Structural-GARCH模型的中国银行业系统性风险研究.pdf,1,[106]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\期待房地产经纪行业从市场波动中走向成熟.pdf,1,[107]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\我国房地产价格波动与银行信贷增长关系的协整检验与误差修正模型.pdf,1,[108]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\浅析房地产周期波动.pdf,1,[109]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\利率对我国房价调控效应的实证研究.pdf,1,[110]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\2009年以来我国房地产市场反复波动的原因及相应的对策研究.pdf,1,[111]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\新时代背景下基于风险传染视角的银行系统性风险生成与防范对策分析.pdf,1,[112]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\人口结构变化对房地产周期性波动的影响.pdf,1,[113]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\金融科技对上市商业银行系统性风险的影响.pdf,1,[114]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\中国房地产系统性风险分析.pdf,1,[115]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\房地产价格波动影响及广义价格水平指数的构建.pdf,1,[116]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\美日中小银行发展对我国的启示.pdf,1,[117]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\不良资产证券化的国际借鉴.pdf,1,[118]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\浅析金融科技浪潮下商业银行的发展现状.pdf,1,[119]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\金融杠杆与房地产价格：影响机制及其效应研究.pdf,1,[120]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\外生冲击与房地产真实价格波动——对1998～2003年中国31省(市、区)的实证研究.pdf,1,[122]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\信贷证券化减少我国银行系统性风险了吗_.pdf,1,[123]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\人口结构对房地产价格的影响——基于动态面板和门限模型的实证研究.pdf,1,[124]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\后危机时代构建宏观审慎监管的思考.pdf,1,[125]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\基于复杂网络杠杆率对商业银行系统性风险影响研究.pdf,1,[126]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\ESG评级对商业银行系统性风险的影响——基于中国29家A股上市银行的研究.pdf,1,[127]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\我国商业银行非系统性风险实证研究.pdf,1,[129]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\房地产调控政策对银行信贷影响实证研究.pdf,1,[130]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\国家审计与金融体系效能提升.pdf,1,[131]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\中国房地产金融风险影响因素相关性分析.pdf,1,[132]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\建设银行如何应对商业房地产金融风险.pdf,1,[133]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\我国金融市场间风险传染与系统性风险溢出效应——基于银行、证券、保险市场的E-CoVaR模型分析.pdf,1,[134]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\基于一线城市房地产泡沫下我国银行业的风险与防范.pdf,1,[135]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\中国系统性金融风险的防范对策.pdf,1,[136]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\试论我国房地产周期波动与当前宏观调控政策取向.pdf,1,[137]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\影子银行与银行系统性金融风险传递的理论与实证研究.pdf,1,[138]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\中国房地产市场价格波动及风险溢出效应研究.pdf,1,[139]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\我国房地产业对房地产金融风险的影响分析.pdf,1,[140]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\大连商品住宅将规定最高限价.pdf,1,[141]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\论商业银行转型升级策略的三个维度——兼论中国商业银行的系统性风险诱因及体制形成机理.pdf,1,[142]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\影子银行对中国银行业系统性风险的影响实证——基于Credit-to-GDP Gaps指标.pdf,1,[144]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\浅析系统性重要银行不能倒闭.pdf,1,[145]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\数字金融时代银行系统性风险控制策略.pdf,1,[146]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\新时期银行监管工作需要处理好十大关系.pdf,1,[148]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\现阶段我国房地产经济波动的影响因素及应对方式.pdf,1,[150]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\对房地产行业股市波动性的实证研究——基于GARCH模型.pdf,1,[151]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\房地产价格波动对银行风险的影响研究.pdf,1,[152]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\银行与证券行业金融风险关联效应研究.pdf,1,[153]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\中国银行业系统性风险的降低及其原因分析.pdf,1,[154]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\房地产价格、货币政策与宏观经济波动.pdf,1,[155]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\银行治理、股价非系统性波动与银行业系统性风险.pdf,1,[156]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\信息技术发展对房地产经济波动的影响及对策.pdf,1,[157]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\房地产价格波动与居民收入差距间的关系探讨.pdf,1,[158]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\银行应积极参与房地产开发.pdf,1,[159]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\资产价格波动与货币政策的相关性研究.pdf,1,[160]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\银行体系系统性金融风险测度及预警研究.pdf,1,[161]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\浙江省房地产市场周期波动研究1990-2013年.pdf,1,[162]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\严监管背景下地方债务触发银行系统性风险的交替式“双渠道”研究.pdf,1,[163]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\异质性视角下的商业银行系统性风险溢出效应测度.pdf,1,[165]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\商业银行风险传导.pdf,1,[166]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\银行系统性风险的成因及防范研究.pdf,1,[167]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\房地产周期波动因素分析.pdf,1,[168]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\中国银行业投贷联动业务潜在非系统性风险控制研究.pdf,1,[169]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\楼市博弈迷局中商业银行住房抵押贷款信用风险——基于VAR和t-Copula方法.pdf,1,[170]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\杭州市房地产周期理论与实证研究.pdf,1,[171]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\银监会主席刘明康强调银行系统性风险正在积聚.pdf,1,[173]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\货币的内生性及其影响.pdf,1,[174]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\基于信贷网络的上市系统性重要银行清偿力风险研究.pdf,1,[175]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\试论房地产经济波动的影响因素.pdf,1,[176]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\金融危机传染的网络理论研究述评.pdf,1,[177]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\我国房地产发展与宏观经济波动的关系研究.pdf,1,[178]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\长沙市房地产的价格波动与预测研究.pdf,1,[179]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\河北房地产周期与宏观经济波动关系分析.pdf,1,[180]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\绿色金融对商业银行系统性风险溢出效应测度.pdf,1,[181]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\基于实物期权理论的房地产项目开发时机决策研究.pdf,1,[182]
"C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\规避“灰犀牛”与“黑天鹅”,守住系统性风险底线.pdf",1,[183]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\贵金属避险价值受关注.pdf,1,[184]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\利率市场化对我国商业银行信贷风险的影响.pdf,1,[185]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\我国房地产市场周期波动的经济因素分析.pdf,1,[186]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\宏观审慎监管政策框架与治理机制.pdf,1,[187]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\我国房地产价格波动背后的金融影响因素分析.pdf,1,[188]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\基于文献计量的宏观审慎研究动态与特征.pdf,1,[189]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\防范化解全球金融风险分析——透过双循环格局下的总体安全观.pdf,1,[190]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\基于双支柱调控的银行异质性、系统性风险与宏观经济运行研究.pdf,1,[191]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\关于我国银行风险预警问题的探讨.pdf,1,[192]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\房地产市场与股票市场价格波动相关性研究.pdf,1,[193]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\陕西省住宅价格波动研究与对策分析.pdf,1,[194]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\房地产业周期  波动规律再探——兼论房地产业的冷与热.pdf,1,[196]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\金融市场系统性风险传导和溢出效应研究.pdf,1,[197]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\金融学视域下新冠肺炎疫情对经济系统的影响分析.pdf,1,[198]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\非利息收入占比对我国商业银行风险影响的研究.pdf,1,[199]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\基于VAR模型的江苏省房地产价格与银行信贷的实证研究.pdf,1,[200]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\中国银行股收益分布对房地产股收益波动的敏感性研究.pdf,1,[201]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\房地产市场与股票市场波动周期对比.pdf,1,[202]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\宏观审慎视角下我国影子银行宏观效应的实证分析.pdf,1,[203]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\基于实物期权视角房地产市场价格波动影响因素分析.pdf,1,[204]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\中国房地产市场的量价波动关系——基于联立方程模型的实证分析.pdf,1,[205]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\特殊时期对房地产行业波动的影响研究.pdf,1,[206]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\中国房地产调控政策绩效研究.pdf,1,[207]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\防范我国房地产经济周期剧烈波动的对策研究.pdf,1,[208]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\房地产企业入股银行的收益和风险分析.pdf,1,[209]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\我国房地产企业融资风险分析及对策研究.pdf,1,[210]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\银行信贷对我国房地产泡沫化成因的影响.pdf,1,[211]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\完善影子银行统计需明确重点.pdf,1,[212]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\商业银行杠杆顺周期与金融稳定——基于我国26家上市商业银行的实证研究.pdf,1,[216]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\系统性风险视角下的Basel Ⅲ对中国商业银行资本缺口影响.pdf,1,[217]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\国外银行系统性风险研究综述.pdf,1,[218]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\从《中国人民银行法》看人民银行县支行职能的变化.pdf,1,[219]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\宏观审慎视角下我国商业银行系统性风险研究.pdf,1,[220]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\存款保险制度、银行特征与系统性风险.pdf,1,[221]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\我国房地产价格的变化趋势与周期波动.pdf,1,[222]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\基于贝叶斯空间自回归模型的中国上市银行系统性风险传导机制研究.pdf,1,[224]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\宏观波动、市场冲击与银行业系统性风险_基于中国92家银行的面板数据分析.pdf,1,[226]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\金融风险防范化解法律问题研究.pdf,1,[227]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\我国资产价格与货币政策的相关性研究.pdf,1,[229]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\双层金融网络的构建及系统重要性金融机构的识别.pdf,1,[230]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\房地产价格波动对商业银行系统性风险的影响研究.pdf,1,[231]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\商业银行对房地产企业信贷风险评估的研究.pdf,1,[232]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\2019：防范系统性金融风险依然是重中之重.pdf,1,[233]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\信贷增长逐步向常态回归  银行系统性风险仍需关注.pdf,1,[234]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\中国房地产周期波动与政策研究.pdf,1,[235]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\银行系统性风险度量——基于动态CoVaR方法的分析.pdf,1,[236]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\房地产波动与宏观经济相互关系的实证研究.pdf,1,[237]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\国家统计局回应房价“平均上涨1.5%”.pdf,1,[238]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\银行间网络及风险传染研究述评与展望.pdf,1,[239]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\中国房地产价格波动的区域差异分析.pdf,1,[240]
